/*****HEADER INFORMATION*****/
Experiment ID:,EyecatcherHome
Participant ID:,1
Session ID:,1
Block Num:,1
Config ID:,ecl_v0_0_13.expConfig.xml
Manual ID:,

Creation Date:,2019-08-02 10:28:40
End Date:,2019-08-02 10:33:25

Config:,            id: 'ecl_v0_0_13.expConfig.xml'\n        script: 'eyecatcherLite_v0_0_13.m'\n    ptrVersion: 0.8\n      randSeed: 210719.9\n        params:-|\n                |-    psyParams:-|\n                                 |-           mode: 'Threshold'\n                                 |-        COMMENT: {fixed or threshold; blah}\n                                 |-dynamicRange_db: 34\n                                 |-          fixed:-|\n                                                    |-     dB_offset: -6\n                                                    |-       COMMENT: {only used if doing suprathreshold perimetry; only used if doing suprathreshold perimetry}\n                                                    |-nFalsePositive: 3\n                                 |-      threshold:-|\n                                                    |-  dummy: 'hello'\n                                                    |-COMMENT: 'dummy'\n                |-   gridParams:-|\n                                 |-dummy: 'hello'\n                |-   stimParams:-|\n                                 |-                   goldmann: 'iii'\n                                 |-                    COMMENT: {III; [1 1 -1 -1] left; top; right; bottom  if blank then defaults to 2 myStimulus diameters; as per http://www.perimetry.org/GEN-INFO/standards/IPS90.HTM; after this point a VfAttentionGrabber will be used to recenter fixation; after this the location is permementantly aborted; left; top; right; bottom. On EIZO; approx equal to: [275 175 2285 1265]. These are in addition to the screen margins; amount of time for light to be 'on' (per cycle); 200ms is HFA default; amount of time for light to be 'off' (per cycle); n times to flash the light; 1 is HFA default; whether to play audio while stimulus is 'on'; left; top; right; bottom}\n                                 |-          screenMargins_deg: 0.5         0.5        -0.5        -0.5\n                                 |-maxPlaceAttemptsBeforeRefix: Inf\n                                 |-abortLocationAfterNattempts: 0\n                                 |-           calibMargins_deg: 1  1 -1 -1\n                                 |-         stim_cycle_on_secs: 0.2\n                                 |-        stim_cycle_off_secs: 0.2\n                                 |-               stim_cycle_n: 1\n                                 |-                 stim_audio: false\n                                 |-additionalGrabberMargins_px: 250  250 -250 -250\n                                 |-       minDistFromCentre_px: 0\n                                 |-     minDistFromTopRight_px: 0\n                                 |-      minDistFromTopLeft_px: 0\n                                 |-  minDistFromBottomRight_px: 0\n                                 |-   minDistFromBottomLeft_px: 0\n                                 |-             useStimRamping: true\n                                 |-             useStimWarping: true\n                                 |-              useLegacyMode: false\n                |-    lumParams:-|\n                                 |-             is10Bit: false\n                                 |-             COMMENT: {true; not implemented; 1.2732   4/pi for MP1; Octopus 101 and MAIA; 31.5/pi [10] for Humphrey; Goldmann; TAP/Twinfield; Octopus 300; 10cdm2 seems to be quoted as a 'standard'; but doesn't seem to apply for microperimeters; where the standard appears to be 1.27; 0.052541 n.b.; deltaLum is *added* to the background pedestal(!); i.e.; so with a background of 10 cd/m2; screen must be capable of at least 185 cd/m2 at every location; luxParams.bkgdLum_cdm2 + luxParams.deltaLum_max_cdm2}\n                                 |-      useBitstealing: true\n                                 |-  useCompressedGamma: false\n                                 |-        bkgdLum_cdm2: 10\n                                 |-   deltaLum_min_cdm2: 0.052541\n                                 |-   deltaLum_max_cdm2: 165\n                                 |-      maxAbsLum_cdm2: 175\n                                 |-   screenCalibSubDir: 'calib_17-Jun-2019'\n                                 |-      screenCalibRaw: 'hacked_step2_fullMatrix_InputOutputFunc_v1_20190617T082520'\n                                 |-screenCalibFittedBgd: 'hacked_step3_10cdm2_backgroundMatrix_CL_v1_20190617T125046'\n                |-graphicParams:-|\n                                 |-                screenNum: 0\n                                 |-                  COMMENT: {0; 1; 60 SPro 4; 59 SPro 3; 2736 SPro 4; 2160 SPro 3; 1920 Linx 64x12; 1920 HP Pavilion x360; 1824 SPro 4; 1440 SPro 3; 1080Linx 64x12; 26 SPro 4; 25.4 SPro 3; 27.7 Linx 64x12; 34.5 HP Pavilion x360; 17.3 SPro 4; 16.9 SPro 3; 15.6 Linx 64x12; 19.4 HP Pavilion x360; distance to MONITOR (includes tracker offset). N.B. given a 64 cm wide monitor; 65 would give 52.4 x 32.8 DVA; 0; 1; 2}\n                                 |-                       Fr: 60\n                                 |-           screenWidth_px: 1920\n                                 |-          screenHeight_px: 1080\n                                 |-           screenWidth_cm: 34.5\n                                 |-          screenHeight_cm: 19.4\n                                 |-assumedViewingDistance_cm: 50\n                                 |-                   useGUI: false\n                                 |-             GUIscreenNum: 2\n                |-     paradigm:-|\n                                 |-                          MODE: 'mousepress'\n                                 |-                       COMMENT: {eyetracking; mousepress; ????????; !!!!!!!; 'animalsprite'; 'controltrial'; 'coin'; 'animalsprite'; 125; 125}\n                                 |-                maxNTestTrials: 9999\n                                 |-trialInitContactThreshold_secs: 7.5\n                                 |-                 delayMin_secs: 0.15\n                                 |-               delaySigma_secs: 0.1\n                                 |-                 delayMax_secs: 0.4\n                                 |-            trialDuration_secs: 2.5\n                                 |-          attentionGrabberType: 'VfAttentionGrabberFace'\n                                 |-                refixationType: 'controltrial'\n                                 |-                 rewarder_type: 'coin'\n                                 |-        rewarder_duration_secs: 0.1\n                                 |-         rewarder_playGraphics: false\n                                 |-            rewarder_playAudio: true\n                                 |-             rewarder_isColour: false\n                                 |-          stationarity_nPoints: 10\n                                 |- stationarity_criterion_degsec: 60\n                                 |-idleAtEndUntilResultsFigClosed: true\n                |-    eyeParams:-|\n                                 |-                   ivisVersion: 1.5\n                                 |-                       npoints: 8\n                                 |-     relaxClassifierAfterNdegs: 5\n                                 |-           maxPathDeviation_px: 400\n                                 |-                       COMMENT: {100; 1.25 = 60 px at 60 cm viewing distance (on Eizo)); 2.5 = 121 px at 60 cm viewing distance (on Eizo); !!!!!!!; 'IvTobiiEyeX'; 'tobii'; 'mouse'; <eye>2</eye>  0==left; 1==right; 2==both  : Now set at run time!; !!!; otherwise will just assume already sitting 'assumedViewingDistance_cm' away at start; !!!}\n                                 |-                   boxdims_deg: 3  3\n                                 |-                          type: 'IvTobiiEyeX'\n                                 |-calibration_range_criterion_px: 600  400\n                                 |-      recalib_falseNegativeMin: 0.9\n                                 |-    recalib_minNfalseNegtrials: 10\n                                 |-          recalib_afterNTrials: 390\n                                 |-      calibrateDistanceAtStart: true\n                                 |-        minCredibleViewDist_cm: 45\n                                 |-        maxCredibleViewDist_cm: 65\n                                 |-            userInputToSetDist: true\n                                 |-          calibrateGazeAtStart: true\n                                 |-              gazeCalibNPoints: 5\n                                 |- additiveCalibrationOnTrackBox: false\n                |-  audioParams:-|\n                                 |-isEnabled: true\n                                 |-interface: 'MatlabBuiltIn'\n                                 |-    devID: \n
Notes:,
Warnings:,
Errors:,

/*****DATA*****/
id,timestamp,expID,partID,trialNum,nTestTrial,eye,isBlankCatchTrial,isEasyCatchTrial,isRefixationTrial,nStimPlacementFails,isCalibrated,lastKnownViewingDistance_cm,x_rel_deg,y_rel_deg,x_px,y_px,x_rel_px,y_rel_px,d_deg,stimDiameter_deg,stimDiameter_px,targLum_dB,targAbs_cdm2,stimLuminance_norm,minAcceptableTrialDuration_secs,responseLatency_secs,resp,anscorrect,grid_estimates,trialStartTime_secs,trialEndTime_secs,obs_x_px,obs_y_px,eyeTrackerLogFn,webcamFn,webcam_firstFrameNofCurrentTrial,webcam_lastFrameNofCurrentTrial
1,2019-08-02 10:29:52,EyecatcherHome,1,1,0,0,true,false,false,0,false,50,9,3,1414,389,454,-151,9.4868,0.43333,22,13,0.15651,0,0.01,0.65216,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,863990.6458,863991.685,960,540,EyecatcherHome-1-1-1-20190802T102947,EyecatcherHome-1-1-1-20190802T102852.avi,266,283
2,2019-08-02 10:29:54,EyecatcherHome,1,2,1,0,false,false,false,0,false,50,9,-3,1414,691,454,151,9.4868,0.43333,22,13,18.2696,0.32096,0.01,0.4066,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,863993.9184,863994.5267,960,540,EyecatcherHome-1-1-1-20190802T102952,EyecatcherHome-1-1-1-20190802T102852.avi,293,298
3,2019-08-02 10:29:55,EyecatcherHome,1,3,2,0,false,false,false,0,false,50,-9,-3,506,691,-454,151,9.4868,0.43333,22,14,16.5688,0.30765,0.01,0.68638,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,863995.2263,863995.9621,960,540,EyecatcherHome-1-1-1-20190802T102954,EyecatcherHome-1-1-1-20190802T102852.avi,300,305
4,2019-08-02 10:29:57,EyecatcherHome,1,4,2,0,false,true,false,0,false,50,3,-9,1111,994,151,454,9.4868,0.43333,22,-Inf,222.477,1,0.01,0.47314,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,863996.757,863997.3045,960,540,EyecatcherHome-1-1-1-20190802T102955,EyecatcherHome-1-1-1-20190802T102852.avi,307,311
5,2019-08-02 10:29:57,EyecatcherHome,1,5,3,0,false,false,false,0,false,50,9,-3,1414,691,454,151,9.4868,0.43333,22,20,11.65,0.26221,0.01,0.008487,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,863997.9654,863998.0154,960,540,EyecatcherHome-1-1-1-20190802T102957,EyecatcherHome-1-1-1-20190802T102852.avi,314,315
6,2019-08-02 10:30:00,EyecatcherHome,1,6,4,0,false,false,false,0,false,50,9,3,1414,389,454,-151,9.4868,0.43333,22,19,12.0772,0.26669,0.01,2.5107,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,863998.6101,864001.1588,960,540,EyecatcherHome-1-1-1-20190802T102957,EyecatcherHome-1-1-1-20190802T102852.avi,318,331
7,2019-08-02 10:30:01,EyecatcherHome,1,7,5,0,false,false,false,0,false,50,9,3,1414,389,454,-151,9.4868,0.43333,22,18,12.6151,0.27212,0.01,2.5107,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864001.3337,864001.3656,960,540,EyecatcherHome-1-1-1-20190802T103000,EyecatcherHome-1-1-1-20190802T102852.avi,331,332
8,2019-08-02 10:30:02,EyecatcherHome,1,8,6,0,false,false,false,0,false,50,-9,-3,506,691,-454,151,9.4868,0.43333,22,20,11.65,0.26221,0.01,0.64126,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864001.9366,864002.6122,960,540,EyecatcherHome-1-1-1-20190802T103001,EyecatcherHome-1-1-1-20190802T102852.avi,334,338
9,2019-08-02 10:30:03,EyecatcherHome,1,9,7,0,false,false,false,0,false,50,-9,3,506,389,-454,-151,9.4868,0.43333,22,14,16.5688,0.30765,0.01,0.45946,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864003.2329,864003.7319,960,540,EyecatcherHome-1-1-1-20190802T103002,EyecatcherHome-1-1-1-20190802T102852.avi,341,343
10,2019-08-02 10:30:05,EyecatcherHome,1,10,8,0,false,false,false,0,false,50,9,-3,1414,691,454,151,9.4868,0.43333,22,20,11.65,0.26221,0.01,1.3192,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864004.3354,864005.6949,960,540,EyecatcherHome-1-1-1-20190802T103003,EyecatcherHome-1-1-1-20190802T102852.avi,346,353
